Year,Make,Model,Used/New,Price,ConsumerRating,ConsumerReviews,Drivetrain,MinMPG,MaxMPG,FuelType,Mileage
2019,toyota,siennase,used,39998,4.6,45,fwd,19,27,gasoline,29403
2018,ford,f-150lariat,used,49985,4.8,817,4wd,19,24,gasoline,32929
2017,ram,1500laramie,used,41860,4.7,495,4wd,15,21,gasoline,23173
2021,honda,accordsportse,used,28500,5.0,36,fwd,29,35,gasoline,10598
2020,lexus,rx350,used,49000,4.8,76,fwd,20,27,gasoline,28137
2012,toyota,4runnersr5,used,23541,4.7,34,rwd,17,23,gasoline,105469
2017,honda,hr-vlx,used,20995,4.6,200,fwd,28,34,gasoline,10458
2014,mercedes-benz,e-classe350,used,18985,4.8,176,rwd,21,30,gasoline,58157
2021,honda,pilottouring8-passenger,used,44299,4.8,63,awd,19,26,gasoline,14445
2020,dodge,chargerscatpack,certified,46773,4.8,56,rwd,15,24,gasoline,25642
2017,lexus,rc350base,used,42734,4.8,14,rwd,19,28,gasoline,10236
2013,lexus,gs350base,used,16990,4.7,81,rwd,19,28,gasoline,48605
2017,lexus,rx350rx350,used,36450,4.7,261,fwd,20,27,gasoline,47729
2020,dodge,chargerscatpack,certified,47500,4.8,56,rwd,15,24,gasoline,31538
2020,dodge,chargerscatpack,used,41000,4.8,56,rwd,15,24,gasoline,18717
2017,lexus,rc350base,used,41493,4.8,14,rwd,19,28,gasoline,34102
2018,ford,explorerxlt,used,32995,4.8,265,4wd,16,22,gasoline,61294
2021,subaru,crosstrekpremium,used,25500,4.8,78,awd,28,33,gasoline,11508
2018,ford,explorerxlt,used,33341,4.8,265,4wd,16,22,gasoline,81375
2018,ford,explorerxlt,used,30489,4.8,265,fwd,17,24,gasoline,28357
2018,ford,explorerxlt,used,32489,4.8,265,4wd,16,22,gasoline,33188
2021,acura,rdxa-spec,used,37000,4.8,42,awd,21,26,gasoline,5188
2021,acura,rdxa-spec,used,38000,4.8,42,awd,21,26,gasoline,12878
2018,ford,explorerxlt,used,31672,4.8,265,4wd,16,22,gasoline,47661
2021,subaru,forestersport,used,29500,4.9,109,awd,26,33,gasoline,10859
2018,subaru,crosstrek2.0ipremium,used,31995,4.8,343,awd,27,33,gasoline,30849
2018,subaru,crosstrek2.0ipremium,used,24561,4.8,343,awd,27,33,gasoline,86759
2018,subaru,crosstrek2.0ipremium,used,24921,4.8,343,awd,27,33,gasoline,61053
2016,bmw,435grancoupeixdrive,used,30995,4.8,16,awd,20,30,gasoline,65219
2016,bmw,435grancoupeixdrive,used,30995,4.8,16,awd,20,30,gasoline,63055
2019,honda,odysseyex-l,used,38347,4.6,133,fwd,19,28,gasoline,64571
2016,honda,odysseyex-l,used,28999,4.7,100,fwd,19,28,gasoline,56000
2020,mercedes-benz,glc300base,used,43451,4.8,35,rwd,22,29,gasoline,34768
2019,audi,q52.0tpremium,used,37300,4.7,42,awd,22,27,gasoline,26012
2014,bmw,428i,used,27741,4.8,61,rwd,23,34,gasoline,48531
2019,volvo,xc60t5momentum,used,40782,4.9,82,awd,20,27,gasoline,10969
2019,honda,odysseyex-l,used,38900,4.6,133,fwd,19,28,gasoline,32201
2019,lincoln,mkzstandard,used,30691,4.9,32,fwd,20,31,gasoline,34686
2020,subaru,ascenttouring7-passenger,used,31754,4.8,83,awd,20,26,gasoline,47226
2017,land,roverrangeroverevoquesepremium,used,34555,4.3,42,4wd,21,29,gasoline,39855
2022,acura,mdxa-spec,certified,58995,4.9,16,awd,19,25,gasoline,12531
2022,honda,pilotex-l,used,41535,5.0,1,fwd,20,27,gasoline,15118
2019,chevrolet,impalapremier2lz,used,26998,4.7,61,fwd,19,28,gasoline,49372
2013,infiniti,g37x,used,17300,4.7,131,awd,18,25,gasoline,66560
2017,honda,civicex,used,22004,4.8,743,fwd,31,40,gasoline,35257
2017,tesla,models75,used,47000,4.6,37,rwd,0,0,electric,84000
2021,honda,pilotspecialedition,certified,43296,4.8,63,awd,19,26,gasoline,10563
2015,jeep,grandcherokeesrt,used,52884,4.8,296,4wd,13,19,gasoline,49870
2011,ford,explorerlimited,used,12290,4.3,112,fwd,17,25,gasoline,117401
2017,bmw,m240i,used,33900,4.7,20,rwd,21,32,gasoline,60733
